,lightLevel,lightColor,peaople_sound,o2,co2,lpg,alcohol,methane,co,h2,nitric,ch2o,voc,Temp,Humad,Rtemp,air_speed
159,6.545,4121,23.6,20.44,787.639,3.1749,0.003,0.3375,4.7051,51.5495,0.3168,0.3784,3.6894,24.5239,55.25,22,132
160,3.33,4096,26.7,20.38,841.8462,3.1543,0.0029,0.3158,4.6435,51.4112,0.196,0.3549,3.6894,23.3932,55.25,22,130
161,2.315,4078,24.6,20.42,808.9652,3.0931,0.0029,0.3111,4.623,51.4112,0.2114,0.3109,3.6894,24.2205,55.25,21,139
162,1.58,4085,24.75,20.37,778.8721,3.0628,0.0029,0.3111,4.7051,51.6187,0.2449,0.3549,3.3736,23.4908,55.35,23,130
163,0.93,4060,25.35,20.4,801.3377,3.1236,0.0029,0.2996,4.7051,51.4804,0.2958,0.3549,4.0099,23.6533,55.35,22,125
164,0.63,4066,29.5,20.39,811.7568,3.1134,0.0029,0.2927,4.7877,51.2729,0.2114,0.3325,3.0629,23.7065,55.35,22,138
165,0.61,4042,42.8,20.55,811.1751,3.1543,0.0029,0.3019,4.7257,51.3421,0.2061,0.3549,3.6894,23.8327,55.35,23,131
166,0.53,4001,31.8,20.4,820.035,3.1852,0.0028,0.295,4.7463,51.4112,0.2114,0.2903,4.0099,23.8375,55.35,24,133
167,0.86,4047,66.4,20.38,822.8264,3.2059,0.0028,0.2927,4.7257,50.9961,0.2758,0.3109,3.6894,24.576,55.35,21,129
168,0.72,4029,47.1,20.43,804.1732,3.1646,0.0029,0.2973,4.767,51.3421,0.2276,0.3784,2.7575,23.7473,55.35,19,130
169,293.6,7027,76.2,20.43,818.1397,3.2371,0.0029,0.3135,4.7877,51.1345,0.2694,0.3784,2.458,22.6815,55.35,22,128
170,345.07,7323,31.3,20.38,806.1458,3.2059,0.0028,0.3065,4.7463,50.9961,0.2508,0.3784,3.0629,22.8176,55.25,20,129
171,420.045,7423,24.5,20.38,795.3342,3.1646,0.0028,0.3042,4.767,51.0653,0.2508,0.3325,3.3736,23.5798,55.25,23,128
172,424.93,7431,25.55,20.42,837.3249,3.1955,0.0028,0.3065,4.7257,51.2037,0.2958,0.3549,3.3736,24.1918,55.25,23,136
173,455.425,7421,25.2,20.41,827.0508,3.1236,0.0029,0.286,4.7051,51.1345,0.3241,0.3109,3.6894,24.3262,55.45,22,138
174,472.97,7456,24.9,20.38,838.2486,3.0128,0.0028,0.2905,4.6435,50.8576,0.2694,0.2706,4.0099,23.8153,55.45,23,132
175,474.63,7420,24.9,20.34,814.9726,2.9536,0.0028,0.2973,4.6845,50.7191,0.2631,0.3109,3.3736,23.9434,55.45,20,130
176,473.045,7383,24.55,20.42,821.9573,3.0128,0.0028,0.295,4.7051,51.0653,0.2449,0.3325,3.3736,23.3981,55.45,20,139
177,472.56,7389,25.55,20.48,826.4197,3.144,0.0028,0.295,4.7051,51.4112,0.289,0.3109,3.6894,23.3595,55.35,22,130
178,472.03,7356,42.1,20.34,841.5714,3.1543,0.0029,0.275,4.6845,51.2037,0.2167,0.3325,3.3736,23.5126,55.35,21,137
179,475.685,7354,32.25,20.46,808.2958,3.144,0.0028,0.275,4.6845,50.9961,0.2569,0.3325,3.6894,23.9601,55.35,23,137
180,443.0,7365,62.75,20.36,819.3972,3.0931,0.0028,0.2728,4.7051,50.9268,0.289,0.2903,4.0099,24.4208,55.35,20,135
181,442.26,7365,44.65,20.38,824.7737,3.1134,0.0027,0.2772,4.9338,50.7191,0.239,0.2518,3.3736,23.9295,55.35,22,133
182,442.395,7365,73.05,20.38,829.9772,3.1236,0.0027,0.2772,4.8293,49.9565,0.3241,0.2903,3.3736,24.7947,55.35,23,129
