,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
timeTransformed[30],0.229786,0.00424483,0.0576407,0.139792,0.226538,0.327163,184.391,12.2657,1.01373
timeTransformed[31],0.226378,0.00358683,0.0590067,0.136524,0.221476,0.331584,270.633,18.0026,1.02119
timeTransformed[32],0.226378,0.00358683,0.0590067,0.136524,0.221476,0.331584,270.633,18.0026,1.02119
timeTransformed[33],0.249833,0.00344969,0.0604228,0.160079,0.245692,0.35427,306.79,20.4078,1.0121
timeTransformed[34],0.249833,0.00344969,0.0604228,0.160079,0.245692,0.35427,306.79,20.4078,1.0121
timeTransformed[35],0.229786,0.00424483,0.0576407,0.139792,0.226538,0.327163,184.391,12.2657,1.01373
timeTransformed[36],0.249833,0.00344969,0.0604228,0.160079,0.245692,0.35427,306.79,20.4078,1.0121
timeTransformed[37],0.249833,0.00344969,0.0604228,0.160079,0.245692,0.35427,306.79,20.4078,1.0121
timeTransformed[38],0.117,0.00418743,0.0419887,0.0531821,0.114762,0.189973,100.547,6.68842,1.04511
timeTransformed[39],0.226378,0.00358683,0.0590067,0.136524,0.221476,0.331584,270.633,18.0026,1.02119
weightTransformed[1],0.268599,0.00376016,0.0633258,0.169397,0.267135,0.383486,283.628,18.867,1.0289
weightTransformed[2],0.156543,0.00388082,0.0512824,0.08098,0.153318,0.248285,174.618,11.6157,1.01308
weightTransformed[3],0.287309,0.00400247,0.0689575,0.178766,0.287769,0.408329,296.829,19.7452,1.00773
weightTransformed[4],0.268599,0.00376016,0.0633258,0.169397,0.267135,0.383486,283.628,18.867,1.0289
weightTransformed[5],0.287309,0.00400247,0.0689575,0.178766,0.287769,0.408329,296.829,19.7452,1.00773
weightTransformed[6],0.156543,0.00388082,0.0512824,0.08098,0.153318,0.248285,174.618,11.6157,1.01308
weightTransformed[7],0.268599,0.00376016,0.0633258,0.169397,0.267135,0.383486,283.628,18.867,1.0289
weightTransformed[8],0.268599,0.00376016,0.0633258,0.169397,0.267135,0.383486,283.628,18.867,1.0289
weightTransformed[9],0.268599,0.00376016,0.0633258,0.169397,0.267135,0.383486,283.628,18.867,1.0289
weightTransformed[10],0.156543,0.00388082,0.0512824,0.08098,0.153318,0.248285,174.618,11.6157,1.01308
weightTransformed[11],0.287309,0.00400247,0.0689575,0.178766,0.287769,0.408329,296.829,19.7452,1.00773
weightTransformed[12],0.268599,0.00376016,0.0633258,0.169397,0.267135,0.383486,283.628,18.867,1.0289
weightTransformed[13],0.287309,0.00400247,0.0689575,0.178766,0.287769,0.408329,296.829,19.7452,1.00773
weightTransformed[14],0.268599,0.00376016,0.0633258,0.169397,0.267135,0.383486,283.628,18.867,1.0289
weightTransformed[15],0.287309,0.00400247,0.0689575,0.178766,0.287769,0.408329,296.829,19.7452,1.00773
weightTransformed[16],0.268599,0.00376016,0.0633258,0.169397,0.267135,0.383486,283.628,18.867,1.0289
weightTransformed[17],0.136851,0.00444122,0.0522655,0.0623787,0.13017,0.238375,138.492,9.21254,1.0187
weightTransformed[18],0.108295,0.0039334,0.045266,0.0461069,0.101689,0.196014,132.437,8.80974,1.02348
weightTransformed[19],0.136851,0.00444122,0.0522655,0.0623787,0.13017,0.238375,138.492,9.21254,1.0187
weightTransformed[20],0.268599,0.00376016,0.0633258,0.169397,0.267135,0.383486,283.628,18.867,1.0289
weightTransformed[21],0.268599,0.00376016,0.0633258,0.169397,0.267135,0.383486,283.628,18.867,1.0289
weightTransformed[22],0.108295,0.0039334,0.045266,0.0461069,0.101689,0.196014,132.437,8.80974,1.02348
weightTransformed[23],0.287309,0.00400247,0.0689575,0.178766,0.287769,0.408329,296.829,19.7452,1.00773
weightTransformed[24],0.287309,0.00400247,0.0689575,0.178766,0.287769,0.408329,296.829,19.7452,1.00773
weightTransformed[25],0.156543,0.00388082,0.0512824,0.08098,0.153318,0.248285,174.618,11.6157,1.01308
weightTransformed[26],0.108295,0.0039334,0.045266,0.0461069,0.101689,0.196014,132.437,8.80974,1.02348
weightTransformed[27],0.287309,0.00400247,0.0689575,0.178766,0.287769,0.408329,296.829,19.7452,1.00773
weightTransformed[28],0.156543,0.00388082,0.0512824,0.08098,0.153318,0.248285,174.618,11.6157,1.01308
weightTransformed[29],0.156543,0.00388082,0.0512824,0.08098,0.153318,0.248285,174.618,11.6157,1.01308
