,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
AcousComfort[88],2.82538,2.23975,3.19233,-0.647504,2.77975,7.76347,2.0315,0.0259886,9.8714
AcousComfort[89],1.18968,2.74046,3.8837,-1.3131,-0.962199,8.03446,2.00838,0.0256928,32.9969
AcousComfort[90],-0.0568867,3.27344,4.65109,-5.95377,0.180596,6.74853,2.01884,0.0258266,14.3253
AcousComfort[91],2.33718,1.95766,2.78048,-1.13848,2.11897,6.65371,2.01728,0.0258067,16.1416
AcousComfort[92],2.18593,2.18196,3.10314,-0.621749,0.964594,7.49526,2.02259,0.0258746,17.1741
AcousComfort[93],2.80913,2.24742,3.19961,-0.615193,2.26882,8.03807,2.02687,0.0259293,12.1413
AcousComfort[94],2.95094,2.2603,3.21202,-0.482146,3.15391,8.44394,2.01941,0.0258339,17.5702
AcousComfort[95],3.44531,2.57279,3.65201,-1.6842,4.46298,8.54764,2.01491,0.0257763,23.4013
AcousComfort[96],0.664385,1.76757,2.53655,-1.68053,-0.20072,5.015,2.05938,0.0263452,7.65527
AcousComfort[97],3.05218,2.60259,3.70477,-0.611987,2.7762,9.03611,2.02634,0.0259226,12.8517
